id,geo_pcode
l10n_sv_dpto.Cat_013_001
l10n_sv_dpto.Cat_013_002,SV01002
l10n_sv_dpto.Cat_013_003,SV01001
l10n_sv_dpto.Cat_013_004,SV01003
l10n_sv_dpto.Cat_013_005,SV12003
l10n_sv_dpto.Cat_013_006,SV12001
l10n_sv_dpto.Cat_013_007,SV12002
l10n_sv_dpto.Cat_013_008,SV12004
l10n_sv_dpto.Cat_013_009,SV13003
l10n_sv_dpto.Cat_013_010,SV13001
l10n_sv_dpto.Cat_013_011,SV13002
l10n_sv_dpto.Cat_013_012,SV13004
l10n_sv_dpto.Cat_013_013,SV03002
l10n_sv_dpto.Cat_013_014,SV03001
l10n_sv_dpto.Cat_013_015,SV03003
l10n_sv_dpto.Cat_013_016,SV05004
l10n_sv_dpto.Cat_013_017,SV05001
l10n_sv_dpto.Cat_013_018,SV05005
l10n_sv_dpto.Cat_013_019,SV05003
l10n_sv_dpto.Cat_013_020,SV05002
l10n_sv_dpto.Cat_013_021,SV05006
l10n_sv_dpto.Cat_013_022,SV10003
l10n_sv_dpto.Cat_013_023,SV10004
l10n_sv_dpto.Cat_013_024,SV10002
l10n_sv_dpto.Cat_013_025,SV10001
l10n_sv_dpto.Cat_013_026,SV10005
l10n_sv_dpto.Cat_013_027,SV04001
l10n_sv_dpto.Cat_013_029,SV04002
l10n_sv_dpto.Cat_013_030,SV06003
l10n_sv_dpto.Cat_013_031,SV06001
l10n_sv_dpto.Cat_013_032,SV06002
l10n_sv_dpto.Cat_013_033,SV02002
l10n_sv_dpto.Cat_013_034,SV02001
l10n_sv_dpto.Cat_013_035,SV11001
l10n_sv_dpto.Cat_013_036,SV11002
l10n_sv_dpto.Cat_013_037,SV14002
l10n_sv_dpto.Cat_013_038,SV14001
l10n_sv_dpto.Cat_013_039,SV14003
l10n_sv_dpto.Cat_013_040,SV09002
l10n_sv_dpto.Cat_013_041,SV09001
l10n_sv_dpto.Cat_013_042,SV09003
l10n_sv_dpto.Cat_013_043,SV08001
l10n_sv_dpto.Cat_013_044,SV08002
l10n_sv_dpto.Cat_013_045,SV07001
l10n_sv_dpto.Cat_013_046,SV07002
